OTUID	A11	A12	A13	A21	A22	A23	AD11	AD12	AD13	AD21	AD22	AD23	CK11	CK12	CK13	CK21	CK22	CK23	DA11	DA12	DA13	DA21	DA22	DA23
NCBI28131	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	5	0	0	0	0	2	0
NCBI2813173	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NCBI2813174	0	0	0	1	0	0	1	0	4	2	0	0	2	0	1	2	0	1	0	1	0	0	1	1
NCBI28132	0	0	3	0	0	2	0	3	9	0	0	1	0	0	0	11	0	0	7	0	3	0	0	3
NCBI28133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
NCBI2813371	1	1	0	8	3	5	0	48	1	12	4	7	0	0	64	0	0	0	1	0	0	0	9	7
NCBI2813578	0	0	0	0	2	0	0	0	2	1	1	0	4	0	5	0	0	0	3	11	0	0	9	0
NCBI281362	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	4	0	0	1	3	0	0
NCBI2813651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0
NCBI28137	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0
NCBI2813744	0	10	25	6	5	14	0	0	0	8	22	0	0	0	0	0	0	0	0	0	0	0	25	0
NCBI2813778	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0
NCBI28141	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	8	0	0	9	0	0
NCBI2814292	0	0	0	3	0	0	0	0	0	0	7	2	0	0	0	4	4	4	0	0	0	0	1	5
NCBI2814293	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	2	0	10	0	5
NCBI2814294	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI2814653	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4
